Wall,100,15,3.699974,0,0,0,1,30,15,Wall,,,
Wall,-55,20,-40,0,0,0,70,40,20,Wall,,,
Wall,-100,20,0,0,0,0,20,40,170,Wall,,,
Wall,-72.5,20,39.97998,0,0,0,45,40,20,Wall,,,
Wall,55.1,9,-70.09998,0,0,0,60,20,30,Wall,,,
Wall,-70,5.5,-67.5,0,0,0,40,10,35,Wall,,,
Wall,40,5,70.1,0,0,0,30,10,30,Wall,,,
Wall,20,20,45,0,0,0,10,40,80,Wall,,,
Wall,2.6,20,-40,0,0,0,25,40,20,Wall,,,
Wall,20,20,-45,0,0,0,10,40,80,Wall,,,
Wall,95,20,45,0,0,0,20,40,80,Wall,,,
Wall,95,20,-45,0,0,0,20,40,80,Wall,,,
Wall,-45,20,27.5,0,0,0,10,40,45,Wall,,,
Wall,-45,20,-27.5,0,0,0,10,40,45,Wall,,,
Wall,-2.5,20,-100,0,0,0,175,40,30,Wall,,,
Wall,-2.5,20,100,0,0,0,175,40,30,Wall,,,
Floor,0,0,0,0,0,0,200,1,200,Floor,,,
Floor,40,10,70,0,0,0,30,2.5,30,Floor,,,
Floor,-70,10.59,-67.5,0,0,0,40,0.5,35,Floor,,,
Floor,55,19.5,-70.09998,0,0,0,60,1,30,Floor,,,
Door,20,20,0,0,0,0,5,40,10,0,1,AreaDoorBLUCK,
Door,-45,20,0,0,0,0,5,40,10,1,2,AreaDoorBLUE,
Door,-14.9,20,-37.4,0,0,0,10,40,5,2,2,AreaDoorRED,
Switch,40,11.5,75.1,0,0,0,10,0.5,10,0,1,BLUCKSWITCH,
Switch,55,20.25,-70.1,0,0,0,10,0.5,10,1,2,BLUESWITCH,
Switch,-80,11.5,-63.9,0,0,0,10,0.5,10,1,2,BLUESWITCH,
Switch,-75,0.4,68.6,0,0,0,10,0.5,10,2,2,REDSWITCH,
Switch,3.1,0.4,68.4,0,0,0,10,0.5,10,2,2,REDSWITCH,
GimmickUp,32.35,1.55,47.6,0,0,0,15,2.5,15,3,1,FIRE,10
GimmickUp,32.35,1.55,-47.95,0,0,0,15,2.5,15,4,1,FIRE,20
Switch,74.6,1.1,74.2,0,0,0,10,0.5,10,3,1,BLUCKSWITCH,
Switch,79.4,1.1,-49.3,0,0,0,10,0.5,10,4,1,BLUCKSWITCH,
StageDoor,78.3,0.5,0,0,1.57,0,5,5,5,DOOR,,,
StageDoor,-69.5,0.5,0,0,-1.57,0,5,5,5,DOOR,,,
GoalBeforeFloor,-89.6,0,0,0,0,0,30,1,100,Floor,,,
GoalFloor,-81,0,0,0,0,0,15,1,15,Floor,,,
Enemy,53.3,25,-68.79002,0,0,0,3,3,3,Enemy::bullet,Enemy::stay,,
Enemy,32,15,68.6,0,0,0,3,3,3,Enemy::bullet,Enemy::stay,,
Enemy,-45,2,68.6,0,0,0,3,3,3,Enemy::bulletMove,Enemy::stay,X,
Enemy,-16.7,2,30.4,0,0,0,3,3,3,Enemy::slide,Enemy::stay,,
Enemy,66.3,2,79.5,0,0,0,3,3,3,Enemy::bulletMove,Enemy::stay,X,
Enemy,34.7,2,27.4,0,0,0,3,3,3,Enemy::slide,Enemy::stay,,
Enemy,33.4,2,-24,0,0,0,3,3,3,Enemy::slide,Enemy::stay,,
Enemy,57.6,2,-50.6,0,0,0,3,3,3,Enemy::bulletMove,Enemy::stay,X,
Enemy,-60,15,-61.4,0,0,0,3,3,3,Enemy::bullet,Enemy::stay,X,
Enemy,-41.6,2,-72.49998,0,0,0,3,3,3,Enemy::bulletMove,Enemy::stay,Z,
Enemy,10,2,-64.8,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,,
Enemy,16.7,2,-16.1,0,0,0,3,3,3,Enemy::slide,Enemy::stay,X,
