Wall,-57,15,100,0,0,0,40,30,20,Wall,,
Wall,-52.5,15,50,0,0,0,37.5,30,10,Wall,,
Wall,0,15,-50,0,0,0,170,30,30,Wall,,
Wall,95,15,27.5,0,0,0,20,30,40,Wall,,
Wall,-7,15,100,0,0,0,40,30,20,Wall,,
Wall,17.5,15,20,0,0,0,10,30,30,Wall,,
Wall,-85.5,15,27.5,0,0,0,30,30,125,Wall,,
Wall,-32,15,105,0,0,0,10,30,1,Wall,,
Wall,-5,15,50,0,0,0,37.5,30,10,Wall,,
Wall,95,15,-27.5,0,0,0,20,30,40,Wall,,
Wall,17.5,15,-20,0,0,0,10,30,30,Wall,,
Wall,50,15,72.5,0,0,0,75,30,75,Wall,,
Wall,100,15,0.1,0,0,0,1,30,15,Wall,,
Floor,8.5,0,0,0,0,0,175,1,105,Floor,,
Switch,30,0.5,-28.5,0,0,0,10,0.5,10,1,2,BLUCKSWITCH
Switch,-58,0.5,29,0,0,0,10,0.5,10,1,2,BLUCKSWITCH
Switch,76,0.5,25,0,0,0,10,0.5,10,0,1,BLUESWITCH
Door,-28.85,15,50,0,0,0,10,30,5,1,2,AreaDoorBLUCK
Door,17,15,-0.5,0,0,0,5,30,10,0,1,AreaDoorBLUE
StageDoor,-32,-0.8,86,0,0,0,5,5,5,DOOR,,
StageDoor,82,-0.8,0,0,1.570796327,0,5,5,5,DOOR,,
GoalBeforeFloor,-30,0,71.5,0,0,0,100,1,40,Floor,,
GoalFloor,-32.5,0,100,0,0,0,15,1,15,Floor,,
Enemy,-50,4,-20,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,-50,4,-20,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,35,4,24,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
Enemy,-15,4,20,0,0,0,3,3,3,Enemy::rightMove,Enemy::stay,
